Flight,Time,Altitude,LatError_Meters,LngError_Meters,Heading,Pitch,Roll,Latitude Change Meters,Longitude Change Meters
Flight 10,488902.1651,41462.2552,-73,3967,90,Retrograde-9,25,0,0
Flight 10,488902.3051,41325.34181,-72,3966,90,Retrograde-9,25,1,1
Flight 10,488902.4451,41188.25423,-72,3965,90,Retrograde-9,25,1,0
Flight 10,488902.5851,41050.99332,-72,3964,90,Retrograde-9,25,1,0
Flight 10,488902.7251,40913.557,-72,3964,90,Retrograde-9,25,0,0
Flight 10,488902.8651,40775.94273,-71,3963,90,Retrograde-9,25,1,1
Flight 10,488903.0051,40638.15614,-71,3963,90,Retrograde-9,25,0,0
Flight 10,488903.1451,40500.19161,-71,3962,90,Retrograde-9,25,1,0
Flight 10,488903.2851,40362.05598,-70,3961,90,Retrograde-9,25,1,1
Flight 10,488903.4251,40223.74428,-70,3961,90,Retrograde-9,25,0,0
Flight 10,488903.5651,40085.26083,-70,3960,90,Retrograde-9,25,1,0
Flight 10,488903.7051,39946.60657,-70,3959,90,Retrograde-9,25,1,0
Flight 10,488903.8451,39807.78085,-69,3957,90,Retrograde-9,25,2,1
Flight 10,488903.9851,39668.77604,-69,3957,90,Retrograde-9,25,0,0
Flight 10,488904.1251,39529.60595,-68,3955,90,Retrograde-9,25,2,1
Flight 10,488904.2651,39390.26073,-68,3954,90,Retrograde-9,25,1,0
Flight 10,488904.4051,39250.74779,-68,3953,90,Retrograde-9,25,1,0
Flight 10,488904.5451,39111.05943,-67,3953,90,Retrograde-9,25,0,1
Flight 10,488904.6851,38971.20486,-67,3952,90,Retrograde-9,25,1,0
Flight 10,488904.8251,38831.18228,-66,3951,90,Retrograde-9,25,1,1
Flight 10,488904.9651,38690.98672,-66,3950,90,Retrograde-9,25,1,0
Flight 10,488905.1051,38550.6241,-65,3949,90,Retrograde-9,25,1,1
Flight 10,488905.2451,38410.09404,-65,3949,90,Retrograde-9,25,0,0
Flight 10,488905.3851,38269.38977,-64,3947,90,Retrograde-9,25,2,1
Flight 10,488905.5251,38128.52276,-64,3946,90,Retrograde-9,25,1,0
Flight 10,488905.6651,37987.48924,-64,3945,90,Retrograde-9,25,1,0
Flight 10,488905.8051,37846.28866,-64,3944,90,Retrograde-9,25,1,0
Flight 10,488905.9451,37704.92761,-63,3943,90,Retrograde-9,25,1,1
Flight 10,488906.0851,37563.39791,-62,3941,90,Retrograde-9,25,2,1
Flight 10,488906.2251,37421.70222,-62,3940,90,Retrograde-9,25,1,0
Flight 10,488906.3651,37279.83974,-61,3939,90,Retrograde-9,25,1,1
Flight 10,488906.5051,37137.81111,-61,3937,90,Retrograde-9,25,2,0
Flight 10,488906.6451,36995.6211,-61,3936,90,Retrograde-9,25,1,0
Flight 10,488906.7851,36853.2725,-60,3936,90,Retrograde-9,25,0,1
Flight 10,488906.9251,36710.75805,-59,3934,90,Retrograde-9,25,2,1
Flight 10,488907.0651,36568.08775,-59,3933,90,Retrograde-9,25,1,0
Flight 10,488907.2051,36425.25318,-59,3932,90,Retrograde-9,25,1,0
Flight 10,488907.3451,36282.25599,-58,3931,90,Retrograde-9,25,1,1
Flight 10,488907.4851,36139.1013,-57,3929,90,Retrograde-9,25,2,1
Flight 10,488907.6251,35995.78895,-57,3928,90,Retrograde-9,25,1,0
Flight 10,488907.7651,35852.3191,-56,3926,90,Retrograde-9,25,2,1
Flight 10,488907.9051,35708.69512,-56,3925,90,Retrograde-9,25,1,0
